Грузополучатель,Грузополучатель_адрес,reciever_lat,reciever_long
2773,"[54.3408, 73.2098]",54.3408,73.2098
8536,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
8782,"[55.3353049, 61.3115019]",55.3353049,61.3115019
23908,"[46.19232602727273, 5.996606054545454]",46.19232602727273,5.996606054545454
24446,"[43.3620656, 132.8319624]",43.3620656,132.8319624
27605,"[61.2412, 77.4858]",61.2412,77.4858
27645,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
37846,"[63.1667, 75.6167]",63.1667,75.6167
38819,"[59.9321, 30.1968]",59.9321,30.1968
39295,"[61.0042, 69.0019]",61.0042,69.0019
39463,"[59.9321, 30.1968]",59.9321,30.1968
39955,"[59.8944, 30.2642]",59.8944,30.2642
40873,"[59.9321, 30.1968]",59.9321,30.1968
44169,"[55.752, 37.615]",55.752,37.615
50105,"[52.2547942, 104.31817624339601]",52.2547942,104.31817624339601
50238,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
50630,"[66.8811, 79.4907]",66.8811,79.4907
50667,"[51.9704148, 55.1857471]",51.9704148,55.1857471
52800,"[56.635, 60.5817]",56.635,60.5817
55704,"[55.9606, 38.0456]",55.9606,38.0456
56893,"[63.1667, 75.6167]",63.1667,75.6167
57164,"[55.7522, 37.6156]",55.7522,37.6156
58378,"[34.9068226, 128.706920738721]",34.9068226,128.706920738721
58553,"[60.1256, 29.8764]",60.1256,29.8764
61730,"[59.9321, 30.1968]",59.9321,30.1968
73273,"[51.449, 57.0908]",51.449,57.0908
74160,"[53.2514, 40.2883]",53.2514,40.2883
76305,"[54.39, 71.88]",54.39,71.88
20000052,"[54.3408, 73.2098]",54.3408,73.2098
20000057,"[68.9717, 33.0819]",68.9717,33.0819
20000058,"[61.0042, 69.0019]",61.0042,69.0019
20000059,"[51.63514235, 59.340583648072084]",51.63514235,59.340583648072084
20000072,"[57.1, 65.76]",57.1,65.76
20000094,"[55.0411, 82.9344]",55.0411,82.9344
20000128,"[43.3620656, 132.8319624]",43.3620656,132.8319624
20000147,"[55.4353, 78.2667]",55.4353,78.2667
20000152,"[61.0042, 69.0019]",61.0042,69.0019
20000157,"[61.0042, 69.0019]",61.0042,69.0019
20000185,"[54.3408, 73.2098]",54.3408,73.2098
20000187,"[60.9339411, 76.5814274]",60.9339411,76.5814274
20000218,"[63.1667, 75.6167]",63.1667,75.6167
20000219,"[63.1667, 75.6167]",63.1667,75.6167
20000220,"[63.1667, 75.6167]",63.1667,75.6167
20000221,"[63.1667, 75.6167]",63.1667,75.6167
20000222,"[63.1667, 75.6167]",63.1667,75.6167
20000223,"[63.1667, 75.6167]",63.1667,75.6167
20000229,"[63.1667, 75.6167]",63.1667,75.6167
20000246,"[65.9175552, 78.1970554]",65.9175552,78.1970554
20000249,"[57.1522, 65.5272]",57.1522,65.5272
20000257,"[66.6572, 66.4183]",66.6572,66.4183
20000258,"[66.0833, 76.6333]",66.0833,76.6333
20000263,"[59.8944, 30.2642]",59.8944,30.2642
20000273,"[54.3408, 73.2098]",54.3408,73.2098
20000277,"[55.1544, 61.4297]",55.1544,61.4297
20000285,"[51.449, 57.0908]",51.449,57.0908
20000286,"[54.3408, 73.2098]",54.3408,73.2098
20000304,"[63.1667, 75.6167]",63.1667,75.6167
20000305,"[63.1667, 75.6167]",63.1667,75.6167
20000306,"[63.1667, 75.6167]",63.1667,75.6167
20000307,"[63.1667, 75.6167]",63.1667,75.6167
20000308,"[63.1667, 75.6167]",63.1667,75.6167
20000314,"[63.1667, 75.6167]",63.1667,75.6167
20000317,"[60.1256, 29.8764]",60.1256,29.8764
20000325,"[34.9068226, 128.706920738721]",34.9068226,128.706920738721
20000327,"[68.9717, 33.0819]",68.9717,33.0819
20000329,"[68.9717, 33.0819]",68.9717,33.0819
20000332,"[53.3267225, 50.3051858]",53.3267225,50.3051858
20000334,"[55.5692, 37.4842]",55.5692,37.4842
20000358,"[63.1667, 75.6167]",63.1667,75.6167
20000387,"[57.1, 65.76]",57.1,65.76
20000397,"[63.1667, 75.6167]",63.1667,75.6167
20000403,"[57.1, 65.76]",57.1,65.76
20000407,"[55.9606, 38.0456]",55.9606,38.0456
20000414,"[56.5, 84.9667]",56.5,84.9667
20000421,"[63.1667, 75.6167]",63.1667,75.6167
20000422,"[57.1495376, 60.6108756]",57.1495376,60.6108756
20000429,"[55.7522, 37.6156]",55.7522,37.6156
20000432,"[43.3620656, 132.8319624]",43.3620656,132.8319624
20000446,"[58.2, 68.2667]",58.2,68.2667
20000447,"[52.3445327, 84.4583842]",52.3445327,84.4583842
20000450,"[55.752, 37.615]",55.752,37.615
20000451,"[66.6572, 66.4183]",66.6572,66.4183
20000454,"[57.1, 65.76]",57.1,65.76
20000462,"[56.51660555, 38.08281522726428]",56.51660555,38.08281522726428
20000488,"[55.7522, 37.6156]",55.7522,37.6156
20000493,"[61.2412, 77.4858]",61.2412,77.4858
20000498,"[58.2918806, 68.3249]",58.2918806,68.3249
20000499,"[60.1256, 29.8764]",60.1256,29.8764
20000501,"[59.8085944, 30.5771454]",59.8085944,30.5771454
20000502,"[66.6572, 66.4183]",66.6572,66.4183
20000510,"[56.51660555, 38.08281522726428]",56.51660555,38.08281522726428
20000511,"[63.1667, 75.6167]",63.1667,75.6167
20000513,"[55.752, 37.615]",55.752,37.615
20000514,"[59.8944, 30.2642]",59.8944,30.2642
20000515,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000519,"[66.6615094, 66.3810869]",66.6615094,66.3810869
20000525,"[68.9717, 33.0819]",68.9717,33.0819
20000528,"[61.8049094, 34.3378509]",61.8049094,34.3378509
20000529,"[51.7847, 55.0986]",51.7847,55.0986
20000533,"[55.4353, 78.2667]",55.4353,78.2667
20000534,"[55.3545361, 78.3339639]",55.3545361,78.3339639
20000537,"[66.6615094, 66.3810869]",66.6615094,66.3810869
20000539,"[61.0042, 69.0019]",61.0042,69.0019
20000549,"[42.6085925, 44.2264293]",42.6085925,44.2264293
20000559,"[66.8811, 79.4907]",66.8811,79.4907
20000560,"[66.0833, 76.6333]",66.0833,76.6333
20000564,"[66.8811, 79.4907]",66.8811,79.4907
20000565,"[66.8811, 79.4907]",66.8811,79.4907
20000568,"[56.5, 84.9667]",56.5,84.9667
20000569,"[56.5, 84.9667]",56.5,84.9667
20000570,"[66.6674278, 66.3806982]",66.6674278,66.3806982
20000583,"[51.7847, 55.0986]",51.7847,55.0986
20000584,"[56.5, 84.9667]",56.5,84.9667
20000585,"[56.860786399999995, 60.52682850765105]",56.860786399999995,60.52682850765105
20000588,"[55.8036, 38.185]",55.8036,38.185
20000624,"[60.076126, 71.473679]",60.076126,71.473679
20000625,"[66.0833, 76.6333]",66.0833,76.6333
20000626,"[66.6615094, 66.3810869]",66.6615094,66.3810869
20000627,"[66.6674278, 66.3806982]",66.6674278,66.3806982
20000629,"[63.1667, 75.6167]",63.1667,75.6167
20000630,"[63.1667, 75.6167]",63.1667,75.6167
20000643,"[56.860786399999995, 60.52682850765105]",56.860786399999995,60.52682850765105
20000644,"[56.860786399999995, 60.52682850765105]",56.860786399999995,60.52682850765105
20000645,"[63.1667, 75.6167]",63.1667,75.6167
20000646,"[64.4831222, 76.6980528]",64.4831222,76.6980528
20000647,"[64.4831222, 76.6980528]",64.4831222,76.6980528
20000648,"[42.49791845, 1.5032263738029337]",42.49791845,1.5032263738029337
20000666,"[68.9717, 33.0819]",68.9717,33.0819
20000677,"[59.5497806, 70.0022944]",59.5497806,70.0022944
20000694,"[51.1133, 59.0831]",51.1133,59.0831
20000711,"[50.21423125, 136.90624000856457]",50.21423125,136.90624000856457
20000728,"[66.0833, 76.6333]",66.0833,76.6333
20000729,"[56.51660555, 38.08281522726428]",56.51660555,38.08281522726428
20000730,"[57.1, 65.76]",57.1,65.76
20000731,"[66.8811, 79.4907]",66.8811,79.4907
20000732,"[66.8811, 79.4907]",66.8811,79.4907
20000733,"[66.0833, 76.6333]",66.0833,76.6333
20000734,"[53.3267225, 50.3051858]",53.3267225,50.3051858
20000751,"[51.449, 57.0908]",51.449,57.0908
20000762,"[51.449, 57.0908]",51.449,57.0908
20000763,"[50.2970213, 127.5423504]",50.2970213,127.5423504
20000769,"[61.1665511, 75.9735438]",61.1665511,75.9735438
20000770,"[61.05, 76.1]",61.05,76.1
20000771,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
20000823,"[61.2412, 77.4858]",61.2412,77.4858
20000827,"[56.7658, 105.6483]",56.7658,105.6483
20000838,"[59.9321, 30.1968]",59.9321,30.1968
20000844,"[60.02262305, 30.264307885641852]",60.02262305,30.264307885641852
20000845,"[44.5828974, 38.2788325]",44.5828974,38.2788325
20000852,"[49.758813, 45.9050433]",49.758813,45.9050433
20000873,"[53.53, 59.5767]",53.53,59.5767
20000904,"[66.8811, 79.4907]",66.8811,79.4907
20000928,"[60.9339411, 76.5814274]",60.9339411,76.5814274
20000929,"[48.528096, 135.18291320418953]",48.528096,135.18291320418953
20000930,"[56.860786399999995, 60.52682850765105]",56.860786399999995,60.52682850765105
20000931,"[61.2412, 77.4858]",61.2412,77.4858
20000944,"[66.8811, 79.4907]",66.8811,79.4907
20000949,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000954,"[58.7084, 32.7636]",58.7084,32.7636
20000968,"[48.778029399999994, 132.9324084472222]",48.778029399999994,132.9324084472222
20000970,"[66.878941, 79.76866586090222]",66.878941,79.76866586090222
20000973,"[61.05, 76.1]",61.05,76.1
20000974,"[61.2412, 77.4858]",61.2412,77.4858
20000978,"[51.449, 57.0908]",51.449,57.0908
20000979,"[51.449, 57.0908]",51.449,57.0908
20000988,"[61.2412, 77.4858]",61.2412,77.4858
20000993,"[54.3408, 73.2098]",54.3408,73.2098
20000999,"[61.05, 76.1]",61.05,76.1
20001004,"[61.2412, 77.4858]",61.2412,77.4858
20001008,"[55.1611757, 61.400622]",55.1611757,61.400622
20001009,"[61.2412, 77.4858]",61.2412,77.4858
20001010,"[61.035404, 76.108215]",61.035404,76.108215
20001013,"[61.2412, 77.4858]",61.2412,77.4858
20001027,"[68.9717, 33.0819]",68.9717,33.0819
20001028,"[56.7564891, 61.7693309]",56.7564891,61.7693309
20001036,"[67.4667, 78.7]",67.4667,78.7
20001045,"[59.94955755, 30.389906303983196]",59.94955755,30.389906303983196
20001046,"[62.1406, 65.3936]",62.1406,65.3936
20001059,"[62.5206, 65.5964]",62.5206,65.5964
20001061,"[61.2412, 77.4858]",61.2412,77.4858
20001083,"[57.1522, 65.5272]",57.1522,65.5272
20001094,"[66.8811, 79.4907]",66.8811,79.4907
20001123,"[66.8811, 79.4907]",66.8811,79.4907
20001178,"[67.4667, 78.7]",67.4667,78.7
20001179,"[44.7177305, 40.860829659952586]",44.7177305,40.860829659952586
20001198,"[50.6617991, 136.8588567]",50.6617991,136.8588567
20001223,"[61.2412, 77.4858]",61.2412,77.4858
20001293,"[56.7658, 105.6483]",56.7658,105.6483
20001354,"[59.9321, 30.1968]",59.9321,30.1968
20001356,"[50.21423125, 136.90624000856457]",50.21423125,136.90624000856457
20001372,"[62.5206, 65.5964]",62.5206,65.5964
20001373,"[62.5206, 65.5964]",62.5206,65.5964
20001383,"[56.7658, 105.6483]",56.7658,105.6483
20001384,"[51.449, 57.0908]",51.449,57.0908
20001394,"[56.7658, 105.6483]",56.7658,105.6483
20001433,"[61.0042, 69.0019]",61.0042,69.0019
20001434,"[66.8811, 79.4907]",66.8811,79.4907
20001459,"[54.3408, 73.2098]",54.3408,73.2098
20001484,"[62.5206, 65.5964]",62.5206,65.5964
20001561,"[53.82835925, 39.568863107844365]",53.82835925,39.568863107844365
20001568,"[53.53, 59.5767]",53.53,59.5767
20001618,"[66.53, 66.6019]",66.53,66.6019
20001623,"[69.56905979999999, 88.31246256290044]",69.56905979999999,88.31246256290044
20001629,"[55.35, 78.35]",55.35,78.35
20001634,"[55.35, 78.35]",55.35,78.35
20001639,"[55.35, 78.35]",55.35,78.35
20001659,"[56.399, 92.4783]",56.399,92.4783
20001990,"[67.4667, 78.7]",67.4667,78.7
20002242,"[66.0833, 76.6333]",66.0833,76.6333
20002274,"[62.5234006, 65.8657255]",62.5234006,65.8657255
20002373,"[66.0833, 76.6333]",66.0833,76.6333
20002394,"[65.50862699999999, 41.439454024792475]",65.50862699999999,41.439454024792475
20002493,"[57.1522, 65.5272]",57.1522,65.5272
20002448,"[51.449, 57.0908]",51.449,57.0908
20002530,"[60.7283, 77.5928]",60.7283,77.5928
20002615,"[61.05, 76.1]",61.05,76.1
20002634,"[66.6674278, 66.3806982]",66.6674278,66.3806982
20001543,"[53.82835925, 39.568863107844365]",53.82835925,39.568863107844365
20002884,"[66.6572, 66.4183]",66.6572,66.4183
20002294,"[53.9210903, 27.5718095]",53.9210903,27.5718095
20001817,"[56.7658, 105.6483]",56.7658,105.6483
20002463,"[56.5, 84.9667]",56.5,84.9667
20000041,"[49.54352, 25.5931611]",49.54352,25.5931611
20000047,"[64.49555484999999, 39.636938912315244]",64.49555484999999,39.636938912315244
20000053,"[63.1667, 75.6167]",63.1667,75.6167
20000060,"[61.2871222, 73.2959139]",61.2871222,73.2959139
20000061,"[63.1667, 75.6167]",63.1667,75.6167
20000062,"[63.1667, 75.6167]",63.1667,75.6167
20000063,"[63.1667, 75.6167]",63.1667,75.6167
20000067,"[54.113471, 61.5867777]",54.113471,61.5867777
20000068,"[54.9467187, 73.38955118186387]",54.9467187,73.38955118186387
20000069,"[56.550489, 84.0767322]",56.550489,84.0767322
20000070,"[56.50768195, 85.02149866288048]",56.50768195,85.02149866288048
20000071,"[55.1284, 73.0947]",55.1284,73.0947
20000077,"[48.9098125, 2.4528634784461856]",48.9098125,2.4528634784461856
20000082,"[55.3333, 86.0833]",55.3333,86.0833
20000083,"[55.3178, 85.9489]",55.3178,85.9489
20000085,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000086,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000092,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000093,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000095,"[61.2408699, 73.4673264]",61.2408699,73.4673264
20000096,"[43.3620656, 132.8319624]",43.3620656,132.8319624
20000097,"[55.752, 37.615]",55.752,37.615
20000098,"[54.9467187, 73.38955118186387]",54.9467187,73.38955118186387
20000107,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000108,"[55.0034314, 61.4452026]",55.0034314,61.4452026
20000115,"[58.2135077, 68.2920463]",58.2135077,68.2920463
20000116,"[56.50768195, 85.02149866288048]",56.50768195,85.02149866288048
20000119,"[49.60140334285714, 6.096276242857143]",49.60140334285714,6.096276242857143
20000120,"[56.550489, 84.0767322]",56.550489,84.0767322
20000121,"[59.5497806, 70.0022944]",59.5497806,70.0022944
20000122,"[56.550489, 84.0767322]",56.550489,84.0767322
20000127,"[63.1667, 75.6167]",63.1667,75.6167
20000132,"[55.752, 37.615]",55.752,37.615
20000137,"[56.5, 84.9667]",56.5,84.9667
20000138,"[56.550489, 84.0767322]",56.550489,84.0767322
20000142,"[36.5374705, 2.8206529]",36.5374705,2.8206529
20000143,"[48.778029399999994, 132.9324084472222]",48.778029399999994,132.9324084472222
20000144,"[55.4353, 78.2667]",55.4353,78.2667
20000146,"[31.7780168, 35.23529625421368]",31.7780168,35.23529625421368
20000148,"[56.7442039, 43.5821004]",56.7442039,43.5821004
20000149,"[56.7442039, 43.5821004]",56.7442039,43.5821004
20000158,"[40.2341346, 45.95346223455566]",40.2341346,45.95346223455566
20000159,"[40.2341346, 45.95346223455566]",40.2341346,45.95346223455566
20000160,"[40.2341346, 45.95346223455566]",40.2341346,45.95346223455566
20000161,"[40.2341346, 45.95346223455566]",40.2341346,45.95346223455566
20000162,"[58.0683073, 78.664577]",58.0683073,78.664577
20000163,"[40.2341346, 45.95346223455566]",40.2341346,45.95346223455566
20000164,"[52.5905518, 43.9349487]",52.5905518,43.9349487
20000165,"[65.9297, 66.124]",65.9297,66.124
20000166,"[65.9297, 66.124]",65.9297,66.124
20000167,"[57.8016516, 38.44078838600855]",57.8016516,38.44078838600855
20000172,"[47.17087396666667, 6.879743075]",47.17087396666667,6.879743075
20000173,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000174,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000175,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000176,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000197,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000198,"[54.3408, 73.2098]",54.3408,73.2098
20000212,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000213,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000214,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000215,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000216,"[65.9297, 66.124]",65.9297,66.124
20000217,"[65.9297, 66.124]",65.9297,66.124
20000224,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000225,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000226,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000227,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000228,"[65.9297, 66.124]",65.9297,66.124
20000230,"[60.9339411, 76.5814274]",60.9339411,76.5814274
20000232,"[54.3408, 73.2098]",54.3408,73.2098
20000237,"[56.3287, 44.002]",56.3287,44.002
20000238,"[56.550489, 84.0767322]",56.550489,84.0767322
20000239,"[59.8944, 30.2642]",59.8944,30.2642
20000240,"[54.3408, 73.2098]",54.3408,73.2098
20000247,"[59.95, 30.38]",59.95,30.38
20000248,"[59.8944, 30.2642]",59.8944,30.2642
20000268,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
20000269,"[59.9321, 30.1968]",59.9321,30.1968
20000270,"[54.0872903, 61.5468854]",54.0872903,61.5468854
20000272,"[60.02262305, 30.264307885641852]",60.02262305,30.264307885641852
20000278,"[55.3353049, 61.3115019]",55.3353049,61.3115019
20000280,"[55.1544, 61.4297]",55.1544,61.4297
20000281,"[55.0411, 82.9344]",55.0411,82.9344
20000282,"[55.7522, 37.6156]",55.7522,37.6156
20000284,"[57.8016516, 38.44078838600855]",57.8016516,38.44078838600855
20000287,"[56.8575, 60.6125]",56.8575,60.6125
20000288,"[58.5811, 50.5389]",58.5811,50.5389
20000289,"[54.3408, 73.2098]",54.3408,73.2098
20000290,"[48.27, 46.17]",48.27,46.17
20000291,"[51.8845, 41.7167]",51.8845,41.7167
20000292,"[54.6197, 39.74]",54.6197,39.74
20000293,"[56.8575, 60.6125]",56.8575,60.6125
20000294,"[54.6197, 39.74]",54.6197,39.74
20000295,"[54.6197, 39.74]",54.6197,39.74
20000296,"[56.1667, 39.0833]",56.1667,39.0833
20000297,"[52.6186, 39.5689]",52.6186,39.5689
20000298,"[58.1167, 28.4333]",58.1167,28.4333
20000299,"[47.2214, 38.9094]",47.2214,38.9094
20000300,"[52.8481, 42.4104]",52.8481,42.4104
20000301,"[54.837522, 20.9741724]",54.837522,20.9741724
20000302,"[54.9914, 82.7175]",54.9914,82.7175
20000303,"[60.1256, 29.8764]",60.1256,29.8764
20000309,"[59.8944, 30.2642]",59.8944,30.2642
20000310,"[60.1256, 29.8764]",60.1256,29.8764
20000311,"[64.4831222, 76.6980528]",64.4831222,76.6980528
20000312,"[60.9333, 76.5667]",60.9333,76.5667
20000313,"[57.1522, 65.5272]",57.1522,65.5272
20000315,"[55.3333, 86.0833]",55.3333,86.0833
20000316,"[57.1522, 65.5272]",57.1522,65.5272
20000322,"[54.41, 71.95]",54.41,71.95
20000323,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000324,"[63.12280945, 75.36793856320467]",63.12280945,75.36793856320467
20000326,"[59.8944, 30.2642]",59.8944,30.2642
20000328,"[61.8049094, 34.3378509]",61.8049094,34.3378509
20000330,"[56.2626223, 34.3681283]",56.2626223,34.3681283
20000331,"[50.86036045, 84.8692994190645]",50.86036045,84.8692994190645
20000333,"[61.1616591, 72.5332251]",61.1616591,72.5332251
20000335,"[46.7253609, 38.27421929120799]",46.7253609,38.27421929120799
20000336,"[53.36, 83.76]",53.36,83.76
20000337,"[55.8212715, 37.6478205]",55.8212715,37.6478205
20000338,"[58.5811, 50.5389]",58.5811,50.5389
20000339,"[63.1667, 75.6167]",63.1667,75.6167
20000341,"[55.05, 74.5667]",55.05,74.5667
20000342,"[54.5097, 83.3403]",54.5097,83.3403
20000346,"[55.1763, 83.6205]",55.1763,83.6205
20000348,"[54.2833, 85.9333]",54.2833,85.9333
20000349,"[55.3178, 85.9489]",55.3178,85.9489
20000350,"[56.1664, 91.3906]",56.1664,91.3906
20000352,"[53.75, 87.1]",53.75,87.1
20000353,"[56.6, 85.1167]",56.6,85.1167
20000355,"[48.778029399999994, 132.9324084472222]",48.778029399999994,132.9324084472222
